route_id,service_id,trip_id,trip_headsign,shape_id,block_id
2,1744,2193046:564242:568569,Train Station,1820,568569
4,1755,2199435:564244:568242,Cataraqui Centre via Princess St,1499,568242
4,1746,2203779:564246:568934,Cataraqui Centre via Princess St,1499,568934
19,1755,2181238:564247:568478,Woodhaven,826,568478
13,1759,2194576:564248:569189,Cataraqui North,1441,569189
2,1746,2203642:564249:568454,Division Street,1784,568454
4,1746,2203990:564250:568473,Cataraqui Centre via Princess St,1499,568473
701,1744,2193114:564251:568982,Express - Cataraqui Centre via Brock/Bath,1377,568982
501,1759,2194543:564252:569187,Express - Downtown via Princess St,1117,569187
2,1744,2193058:564253:568450,Division Street,1784,568450
N1,1753,2192749:564254:568960,Cataraqui Centre,1822,568960
N1,1758,2192749:564254:569214,Cataraqui Centre,1822,569214
16,1744,2193593:564255:568296,St. Lawrence College,1853,568296
7,1753,2181703:564256:568970,Cataraqui Centre,1418,568970
7,1758,2181703:564256:569196,Cataraqui Centre,1418,569196
7,1745,2183551:564257:568443,Cataraqui Centre,1418,568443
N1,1753,2199595:564258:568958,Bus Terminal,1834,568958
N1,1758,2199595:564258:569204,Bus Terminal,1834,569204
16,1755,2192725:564259:568400,St. Lawrence College,1853,568400
16,1746,2203958:564263:568516,First Canada,1849,568516
501,1744,2192891:564264:568435,Express - Downtown via Princess St,1117,568435
1,1745,2183241:564265:568308,Montreal Street,1778,568308
15,1755,2181583:564266:568974,Cataraqui Centre,1809,568974
7,1746,2204007:564267:568346,Cataraqui Centre,1418,568346
502,1755,2199453:564268:568948,Express - Downtown via Bayridge/Front,1516,568948
701,1746,2204189:564269:568938,Express - Cataraqui Centre via Brock/Bath,1377,568938
802,1753,2182140:564270:568355,Express - Montreal Street Park & Ride,1312,568355
802,1758,2182140:564270:569192,Express - Montreal Street Park & Ride,1312,569192
7,1759,2193708:564271:569205,Cataraqui Centre,1418,569205
702,1759,2193185:564272:569206,Express - King's Crossing via Division,1584,569206
501,1746,2203495:564273:568944,Express - Downtown via Princess St,1117,568944
19,1744,2193501:564274:568521,Cataraqui Centre,1300,568521
6,1755,2181531:564275:568390,Saint Lawrence College,1761,568390
502,1755,2199478:564276:568365,Express - Downtown via Bayridge/Front,1516,568365
701,1744,2193974:564277:569000,Express - Cataraqui Centre via Brock/Bath,1377,569000
501,1753,2199398:564278:568355,Express - Cataraqui Centre via Front/Bayridge,1506,568355
501,1758,2199398:564278:569192,Express - Cataraqui Centre via Front/Bayridge,1506,569192
15,1753,2181593:564279:568958,Centre 70 Park & Ride,1841,568958
15,1758,2181593:564279:569204,Centre 70 Park & Ride,1841,569204
701,1755,2182019:564280:568910,Express - Cataraqui Centre via Brock/Bath,1377,568910
702,1744,2193176:564281:568930,Express - King's Crossing via Division,1584,568930
502,1746,2203573:564282:568463,Express - Downtown via Bayridge/Front,1516,568463
801,1744,2193248:564283:569000,Express - Cataraqui Centre via Brock/Bath,1468,569000
4,1744,2193569:564285:568464,Cataraqui Centre via Princess St,1499,568464
4,1744,2193490:564286:568920,Cataraqui Centre via Princess St,1499,568920
16,1753,2192726:564287:568923,St. Lawrence College,1853,568923
16,1758,2192726:564287:569185,St. Lawrence College,1853,569185
1,1753,2181367:564288:568891,Montreal Street,1778,568891
1,1758,2181367:564288:569207,Montreal Street,1778,569207
6,1755,2181524:564289:568572,Saint Lawrence College,1761,568572
4,1753,2199572:564290:568906,Cataraqui Centre via Princess St,1499,568906
4,1758,2199572:564290:569199,Cataraqui Centre via Princess St,1499,569199
2,1746,2203618:564291:568399,Division Street,1784,568399
6B,1745,2183468:564292:568306,B - Gardiners Centre,1419,568306
4,1755,2199419:564293:568929,Downtown via Princess St,1169,568929
N1,1745,2194880:564295:568443,Bus Terminal,1834,568443
4,1745,2184088:564296:568434,Downtown via Princess St,1170,568434
602,1745,2183930:564297:568351,Express - Innovation / Highway 15 via CFB,1576,568351
7,1746,2204445:564298:569179,Cataraqui Centre,1569,569179
19,1746,2204001:564299:568245,Woodhaven,826,568245
90B,1754,2203464:564300:568407,Loyalist Link - Amherstview,1702,568407
6,1753,2181519:564301:568923,Saint Lawrence College,1761,568923
6,1758,2181519:564301:569185,Saint Lawrence College,1761,569185
2,1745,2184142:564302:568482,B - Bus Terminal,1570,568482
22,1744,2194105:564303:568458,A - First Canada,1438,568458
4,1744,2193489:564304:568930,Cataraqui Centre via Princess St,1499,568930
15,1755,2181779:564305:568457,Centre 70 Park & Ride,1841,568457
7,1745,2184177:564306:568434,Cataraqui Centre,1569,568434
502,1745,2183067:564307:568309,Express - Downtown via Bayridge/Front,1516,568309
15,1755,2181597:564309:568260,Centre 70 Park & Ride,1841,568260
501,1755,2199359:564310:568323,Express - Cataraqui Centre via Front/Bayridge,1506,568323
4,1744,2193517:564311:568435,Downtown via Princess St,1169,568435
22,1746,2203945:564312:569179,First Canada via MacCauley,1443,569179
702,1746,2204292:564313:568969,Express - King's Crossing via Division,1584,568969
602,1746,2204203:564314:568276,Express - Innovation / Highway 15 via CFB,1576,568276
802,1755,2182154:564316:569001,Express - Montreal Street Park & Ride,1312,569001
701,1759,2193148:564319:569195,Express - Cataraqui Centre via Brock/Bath,1377,569195
22,1744,2193616:564320:568296,Innovation / Highway 15,1727,568296
11,1759,2193419:564321:569184,Cataraqui Centre,1859,569184
602,1746,2204210:564322:568276,Express - Innovation / Highway 15 via CFB,1576,568276
4,1745,2183300:564323:568972,Downtown via Princess St,1169,568972
7,1745,2183567:564324:568451,Grant Timmins/Dalton via John Counter Blvd,1385,568451
19,1744,2193474:564325:568890,Cataraqui Centre,1300,568890
501,1755,2199358:564326:568259,Express - Cataraqui Centre via Front/Bayridge,1506,568259
502,1745,2183121:564328:568306,Express - Downtown via Bayridge/Front,1516,568306
22,1746,2203947:564329:568979,First Canada via MacCauley,1443,568979
502,1746,2203574:564330:568493,Express - Downtown via Bayridge/Front,1516,568493
2,1744,2193097:564331:568471,Division Street,1784,568471
N1,1753,2199593:564332:568958,Princess / Midland,1831,568958
N1,1758,2199593:564332:569204,Princess / Midland,1831,569204
701,1755,2182204:564333:568902,Express - Cataraqui Centre via Downtown,1610,568902
32,1744,2193330:564336:568513,St. Lawrence College,1776,568513
601,1755,2181288:564337:568504,Express - Queen's/KGH via CFB Kingston,1832,568504
702,1755,2182216:564339:568956,Express - King's Crossing via Division,1584,568956
501,1746,2203546:564340:569174,Express - Cataraqui Centre via Front/Bayridge,1506,569174
7,1755,2181704:564341:568490,Cataraqui Centre,1418,568490
702,1744,2193189:564342:568947,Express - King's Crossing via Division,1584,568947
16,1755,2192621:564343:568390,First Canada,1852,568390
501,1744,2192817:564344:568402,Express - Downtown via Princess St,1117,568402
19,1745,2183133:564345:568318,Cataraqui Centre,1472,568318
13,1746,2204476:564346:568368,Cataraqui North,1441,568368
6,1744,2193346:564347:568402,Saint Lawrence College,1761,568402
501,1746,2203498:564348:568292,Express - Cataraqui Centre via Front/Bayridge,1506,568292
701,1746,2204309:564349:568942,Express - Cataraqui Centre via Downtown,1610,568942
32,1755,2181077:564350:568572,St. Lawrence College,1773,568572
6,1755,2181492:564351:568424,Cataraqui Centre,1781,568424
501,1746,2203543:564352:569179,Express - Cataraqui Centre via Front/Bayridge,1506,569179
22,1744,2193638:564353:568296,First Canada via MacCauley,1443,568296
702,1753,2199836:564354:568916,Express - King's Crossing via Division,1584,568916
702,1758,2199836:564354:569197,Express - King's Crossing via Division,1584,569197
702,1753,2182233:564355:568898,Express - King's Crossing via Division,1584,568898
702,1758,2182233:564355:569209,Express - King's Crossing via Division,1584,569209
12,1755,2182324:564356:568328,St. Lawrence College,1825,568328
701,1744,2193118:564357:568947,Express - Cataraqui Centre via Downtown,1610,568947
6,1755,2181528:564358:568571,Saint Lawrence College,1761,568571
16,1745,2183508:564359:568318,St. Lawrence College,1853,568318
16,1744,2193670:564361:568296,First Canada,1852,568296
702,1746,2204317:564362:568884,Express - King's Crossing via Division,1584,568884
2,1746,2203629:564363:568399,Train Station,1820,568399
14,1745,2184151:564364:568451,Cataraqui North,1390,568451
701,1744,2193159:564365:568952,Express - Cataraqui Centre via Downtown,1610,568952
11,1746,2203760:564366:569174,Cataraqui Centre,1859,569174
11,1760,2183294:564367:569210,Cataraqui Centre,1859,569210
2,1755,2181343:564368:568518,Division Street,1784,568518
11,1759,2194381:564369:569198,B - Kingston Centre,1635,569198
602,1755,2182354:564370:568390,A - Express - Innovation / Highway 15,1574,568390
1,1744,2193280:564371:568290,Montreal Street,1778,568290
801,1746,2204121:564372:568935,Express - Cataraqui Centre via Brock/Bath,1468,568935
10,1755,2181989:564373:568568,Collins Bay/Bath,1608,568568
19,1745,2183397:564374:568564,Cataraqui Centre,1300,568564
16,1755,2192629:564375:568354,First Canada,1852,568354
7,1759,2193694:564376:569195,Cataraqui Centre,1418,569195
702,1744,2193166:564377:568885,Express - King's Crossing via Division,1584,568885
701,1759,2193169:564379:569195,Express - Cataraqui Centre via Downtown,1610,569195
22,1744,2193849:564380:568296,A - Innovation / Highway 15,1725,568296
4,1745,2184082:564381:568564,Cataraqui Centre via Princess St,1499,568564
702,1745,2183944:564382:568964,Express - King's Crossing via Division,1584,568964
4,1755,2199413:564383:568261,Downtown via Princess St,1169,568261
7,1755,2181857:564384:568424,Cataraqui Centre,1418,568424
19,1745,2183368:564387:568901,Cataraqui Centre,1300,568901
801,1755,2182164:564388:568951,Express - Cataraqui Centre via Brock/Bath,1468,568951
801,1755,2182163:564390:568913,Express - Cataraqui Centre via Brock/Bath,1468,568913
601,1746,2204224:564391:568276,Express - Queen's/KGH via CFB Kingston,1832,568276
601,1745,2183884:564393:568348,Express - Queen's/KGH via CFB Kingston,1832,568348
10,1745,2183697:564394:568385,Amherstview,1362,568385
6,1755,2181487:564395:568524,Saint Lawrence College,1761,568524
31,1755,2181090:564397:568894,Providence Care Hospital,1763,568894
1,1755,2181389:564398:568447,Montreal Street,1778,568447
4,1746,2203781:564399:568321,Downtown via Princess St,1169,568321
32,1755,2181252:564400:568328,St. Lawrence College,1774,568328
802,1746,2204130:564402:568997,Express - Montreal Street Park & Ride,1312,568997
602,1745,2183874:564403:568348,Express - Innovation / Highway 15 via CFB,1576,568348
502,1755,2199447:564404:568894,Express - Downtown via Bayridge/Front,1516,568894
1,1746,2203738:564405:568486,St. Lawrence College,1769,568486
2,1746,2204440:564406:568248,Division Street,1784,568248
22,1755,2192653:564407:568432,Innovation / Highway 15,1727,568432
701,1755,2182021:564409:568913,Express - Cataraqui Centre via Brock/Bath,1377,568913
602,1746,2204231:564410:568322,Express - Innovation / Highway 15 via CFB,1576,568322
501,1755,2199367:564411:568429,Express - Cataraqui Centre via Front/Bayridge,1506,568429
7,1755,2181705:564412:568390,Cataraqui Centre,1418,568390
32,1753,2181037:564413:568891,St. Lawrence College,1773,568891
32,1758,2181037:564413:569207,St. Lawrence College,1773,569207
31,1755,2181092:564414:568260,Providence Care Hospital,1763,568260
7,1746,2204038:564415:568346,Cataraqui Centre,1418,568346
502,1746,2203881:564416:568979,Express - Downtown via Bayridge/Front,1516,568979
15,1745,2183436:564417:568311,Centre 70 Park & Ride,1841,568311
16,1744,2193605:564418:568267,St. Lawrence College,1853,568267
701,1746,2204149:564419:568997,Express - Cataraqui Centre via Brock/Bath,1377,568997
4,1746,2204496:564420:568446,Downtown via Princess St,1170,568446
501,1746,2203842:564421:568473,Express - Cataraqui Centre via Front/Bayridge,1506,568473
802,1744,2193043:564422:568989,Express - Montreal Street Park & Ride,1312,568989
1,1744,2193327:564423:568513,Montreal Street,1778,568513
16,1755,2192625:564424:568259,First Canada,1852,568259
32,1744,2193015:564425:568513,St. Lawrence College,1773,568513
2,1744,2193055:564426:568569,Division Street,1784,568569
801,1753,2199737:564428:568970,Express - Downtown,1840,568970
801,1758,2199737:564428:569196,Express - Downtown,1840,569196
19,1759,2193575:564429:569187,Woodhaven,826,569187
15,1755,2181627:564430:568400,Cataraqui Centre,1858,568400
701,1753,2182200:564431:568898,Express - Cataraqui Centre via Downtown,1610,568898
701,1758,2182200:564431:569209,Express - Cataraqui Centre via Downtown,1610,569209
31,1753,2181080:564432:568923,Providence Care Hospital,1763,568923
31,1758,2181080:564432:569185,Providence Care Hospital,1763,569185
22,1744,2193861:564433:568267,A - Innovation / Highway 15,1725,568267
6,1755,2181477:564434:568261,Saint Lawrence College,1761,568261
601,1746,2204193:564435:568276,Express - Queen's/KGH via CFB Kingston,1832,568276
31,1755,2181058:564436:568354,Providence Care Hospital,1763,568354
10,1755,2181672:564437:568421,Cataraqui Centre,1396,568421
501,1753,2199361:564438:568945,Express - Cataraqui Centre via Front/Bayridge,1506,568945
501,1758,2199361:564438:569182,Express - Cataraqui Centre via Front/Bayridge,1506,569182
1,1755,2181398:564440:568571,St. Lawrence College,1769,568571
701,1745,2184014:564441:568915,Express - Cataraqui Centre via Brock/Bath,1377,568915
601,1755,2182280:564442:568520,B - Express - Downtown,1828,568520
19,1755,2181240:564443:568242,Woodhaven,826,568242
502,1744,2192847:564444:568240,Express - Downtown via Bayridge/Front,1516,568240
22,1745,2183898:564445:568351,A - First Canada,1438,568351
7,1745,2184178:564448:568964,Cataraqui Centre,1569,568964
16,1744,2193591:564449:568267,St. Lawrence College,1853,568267
7,1759,2193724:564450:569189,Grant Timmins/Dalton via John Counter Blvd,1385,569189
7,1744,2193689:564451:568329,Cataraqui Centre,1418,568329
1,1746,2203714:564452:568239,Montreal Street,1778,568239
501,1744,2192844:564453:568521,Express - Cataraqui Centre via Front/Bayridge,1506,568521
10,1745,2183686:564454:568385,Amherstview,1362,568385
802,1744,2193868:564455:569000,Express - Montreal Street Park & Ride,1312,569000
502,1744,2192857:564456:568240,Express - Downtown via Bayridge/Front,1516,568240
19,1755,2181116:564457:568929,Cataraqui Centre,974,568929
701,1746,2204286:564458:568949,Express - Cataraqui Centre via Brock/Bath,1377,568949
501,1759,2192892:564459:569187,Express - Downtown via Princess St,1117,569187
16,1744,2193585:564460:568267,St. Lawrence College,1853,568267
15,1744,2193458:564461:568503,Cataraqui Centre,1858,568503
2,1755,2199581:564462:568518,Division Street,1784,568518
602,1746,2204247:564463:568322,Express - Innovation / Highway 15 via CFB,1576,568322
7,1744,2193703:564464:568503,Cataraqui Centre,1418,568503
19,1746,2203817:564465:568912,Cataraqui Centre,1300,568912
7,1755,2182426:564466:568941,Cataraqui Centre,1394,568941
